4,948;,037;,035;,072;,241;,042;,036;4,758;4,950;;4,936;;10,050;,033
9,943;,036;,041;,088;,266;,070;,051;9,774;9,962;;9,926;;15,045;,043
14,945;,042;,049;,100;,292;,085;,050;14,813;14,963;;14,923;;20,058;,054
19,991;,046;,083;,087;,287;,090;,065;19,801;19,978;;19,927;;25,053;,070
24,996;,060;,082;,132;,375;,098;,075;24,807;24,995;;24,931;;30,044;,091
29,977;,076;,128;,101;,319;,122;,097;29,908;30,011;;29,930;;35,050;,117
35,007;,076;,173;,119;,329;,137;,127;34,886;35,013;;34,931;;40,070;,145
39,984;,099;,156;,154;,360;;,151;39,935;40,014;;39,938;;45,043;,175
45,032;,104;,196;,151;,386;;,182;44,894;45,026;;44,940;;50,047;,219
50,010;,107;,236;,217;,423;;,203;49,994;50,043;;49,940;;;,265
